dam_size_gb,local_capacity_gb,query_id,migration_duration_ns
2.5,0.25,1,0.0
2.5,0.25,2,98322456.5
2.5,0.25,3,16136209.799999999
2.5,0.25,4,15059656.1
2.5,0.25,5,18114605.7
2.5,0.25,6,0.0
2.5,0.25,7,4711968.0
2.5,0.25,8,18114605.7
2.5,0.25,9,10995180.0
2.5,0.25,10,16312299.9
2.5,0.25,11,14764882.399999999
2.5,0.25,12,5060640.5
2.5,0.25,13,1949516.0
2.5,0.25,14,6519509.0
2.5,0.25,16,82733445.6
2.5,0.25,17,5062652.7
2.5,0.25,18,1949516.0
2.5,0.25,19,6287101.6
2.5,0.25,20,17030662.5
2.5,0.25,21,86857580.2
2.5,0.25,22,4733555.1
2.5,0.5,1,16605668.7
2.5,0.5,2,111385880.6
2.5,0.5,3,22506000.0
2.5,0.5,4,20120296.6
2.5,0.5,5,20595465.3
2.5,0.5,6,16473473.6
2.5,0.5,7,28088534.3
2.5,0.5,8,27114974.3
2.5,0.5,9,27076567.400000002
2.5,0.5,10,19905210.7
2.5,0.5,11,27511558.6
2.5,0.5,12,21774515.5
2.5,0.5,13,25326082.3
2.5,0.5,14,22992982.6
2.5,0.5,16,95796869.7
2.5,0.5,17,21644555.9
2.5,0.5,18,18531419.2
2.5,0.5,19,23000976.6
2.5,0.5,20,30094086.600000005
2.5,0.5,21,102938967.60000001
2.5,0.5,22,28110121.400000002
2.5,0.75,1,33308719.6
2.5,0.75,2,122363683.0
2.5,0.75,3,43933050.3
2.5,0.75,4,36201684.0
2.5,0.75,5,36676852.7
2.5,0.75,6,33055376.799999997
2.5,0.75,7,44169921.7
2.5,0.75,8,50491540.6
2.5,0.75,9,40139991.50000001
2.5,0.75,10,34964866.800000004
2.5,0.75,11,38489361.0
2.5,0.75,12,37855902.9
2.5,0.75,13,41407469.7
2.5,0.75,14,22992982.6
2.5,0.75,16,95796869.69999999
2.5,0.75,17,21644555.9
2.5,0.75,18,34612806.6
2.5,0.75,19,39988842.9
2.5,0.75,20,124714048.0
2.5,0.75,21,102938967.60000001
2.5,0.75,22,44245453.7
2.5,1.0,1,49782193.2
2.5,1.0,2,122363683.0
2.5,1.0,3,54437555.900000006
2.5,1.0,4,52051852.5
2.5,1.0,5,52527021.2
2.5,1.0,6,55703037.9
2.5,1.0,7,58465489.900000006
2.5,1.0,8,63990400.0
2.5,1.0,9,51117793.9
2.5,1.0,10,51438340.4
2.5,1.0,11,38489361.0
2.5,1.0,12,55549213.7
2.5,1.0,13,41407469.7
2.5,1.0,14,59640018.9
2.5,1.0,16,95796869.69999999
2.5,1.0,17,21644555.9
2.5,1.0,18,48940728.0
2.5,1.0,19,56570746.099999994
2.5,1.0,20,57404496.199999996
2.5,1.0,21,133848792.2
2.5,1.0,22,47029492.8
2.5,1.25,1,66259435.699999996
2.5,1.25,2,122363683.0
2.5,1.25,3,69497212.0
2.5,1.25,4,67111508.6
2.5,1.25,5,67586677.3
2.5,1.25,6,55703037.9
2.5,1.25,7,60415005.900000006
2.5,1.25,8,66572928.0
2.5,1.25,9,66177450.0
2.5,1.25,10,66896422.7
2.5,1.25,11,38489361.00000001
2.5,1.25,12,60609854.2
2.5,1.25,13,41407469.7
2.5,1.25,14,62222546.9
2.5,1.25,16,95796869.7
2.5,1.25,17,21644555.9
2.5,1.25,18,65522631.2
2.5,1.25,19,73044219.7
2.5,1.25,20,72733700.4
2.5,1.25,21,149930179.6
2.5,1.25,22,47029492.8
5.0,0.5,1,16605668.7
5.0,0.5,2,111385880.59999998
5.0,0.5,3,22506000.0
5.0,0.5,4,20120296.6
5.0,0.5,5,20595465.3
5.0,0.5,6,16473473.6
5.0,0.5,7,28088534.3
5.0,0.5,8,27114974.300000004
5.0,0.5,9,27076567.400000002
5.0,0.5,10,19905210.7
5.0,0.5,11,27511558.6
5.0,0.5,12,21774515.5
5.0,0.5,13,25326082.3
5.0,0.5,14,22992982.6
5.0,0.5,16,95796869.69999999
5.0,0.5,17,21644555.9
5.0,0.5,18,18531419.2
5.0,0.5,19,23000976.599999998
5.0,0.5,20,30094086.599999998
5.0,0.5,21,102938967.6
5.0,0.5,22,28110121.400000002
5.0,1.0,1,49782193.2
5.0,1.0,2,122363682.99999999
5.0,1.0,3,54437555.900000006
5.0,1.0,4,52051852.5
5.0,1.0,5,52527021.2
5.0,1.0,6,55703037.9
5.0,1.0,7,58465489.9
5.0,1.0,8,63990400.00000001
5.0,1.0,9,51117793.900000006
5.0,1.0,10,51438340.400000006
5.0,1.0,11,38489361.0
5.0,1.0,12,55549213.7
5.0,1.0,13,41407469.7
5.0,1.0,14,59640018.9
5.0,1.0,16,95796869.7
5.0,1.0,17,21644555.9
5.0,1.0,18,48940728.0
5.0,1.0,19,56570746.10000001
5.0,1.0,20,57404496.199999996
5.0,1.0,21,133848792.19999999
5.0,1.0,22,47029492.8
5.0,1.5,1,82841338.89999999
5.0,1.5,2,122363683.0
5.0,1.5,3,85427434.4
5.0,1.5,4,83192896.0
5.0,1.5,5,83668064.7
5.0,1.5,6,72176511.5
5.0,1.5,7,83791572.2
5.0,1.5,8,83046401.6
5.0,1.5,9,82650923.6
5.0,1.5,10,81956078.8
5.0,1.5,11,38489361.0
5.0,1.5,12,77323729.2
5.0,1.5,13,41407469.7
5.0,1.5,14,78696020.5
5.0,1.5,16,95796869.7
5.0,1.5,17,21644555.9
5.0,1.5,18,81604018.6
5.0,1.5,19,73044219.7
5.0,1.5,20,166417710.7
5.0,1.5,21,149930179.6
5.0,1.5,22,47029492.800000004
5.0,2.0,1,82841338.89999999
5.0,2.0,2,122363683.00000001
5.0,2.0,3,110140593.80000001
5.0,2.0,4,83192896.0
5.0,2.0,5,109993017.7
5.0,2.0,6,88758414.69999999
5.0,2.0,7,99872959.6
5.0,2.0,8,117467325.89999999
5.0,2.0,9,112325333.99999999
5.0,2.0,10,114510939.8
5.0,2.0,11,38489361.0
5.0,2.0,12,93405116.60000001
5.0,2.0,13,41407469.7
5.0,2.0,14,78696020.5
5.0,2.0,16,95796869.69999999
5.0,2.0,17,113354507.5
5.0,2.0,18,96663674.69999999
5.0,2.0,19,73044219.7
5.0,2.0,20,1489055026.6
5.0,2.0,21,188850826.8
5.0,2.0,22,47029492.8
5.0,2.5,1,138544376.8
5.0,2.5,2,122363682.99999999
5.0,2.5,3,142207026.0
5.0,2.5,4,138194930.6
5.0,2.5,5,141924573.59999996
5.0,2.5,6,88758414.69999999
5.0,2.5,7,130782784.2
5.0,2.5,8,143426420.2
5.0,2.5,9,141470145.49999997
5.0,2.5,10,137887506.1
5.0,2.5,11,38489361.0
5.0,2.5,12,140396328.6
5.0,2.5,13,41407469.7
5.0,2.5,14,78696020.5
5.0,2.5,16,95796869.7
5.0,2.5,17,114579435.5
5.0,2.5,18,120040241.0
5.0,2.5,19,132923722.5
