query_id,dam_size_gb,table_size_gb,migration_size_gb,migration_duration_ns
1,2.5,0.5,0.2802890120074153,9263178.0
1,2.5,0.75,0.5607485678046942,17601385.0
1,2.5,1.0,0.8407476553693414,25687103.0
1,2.5,1.25,1.1207126341760159,33850461.0
1,5.0,0.5,0.2802890120074153,9336297.0
1,5.0,1.0,0.8407476553693414,25775882.0
1,5.0,1.5,1.401376842521131,42022488.0
1,5.0,2.0,1.401376842521131,42124156.0
1,5.0,2.5,2.3901417972519994,70754152.0
1,7.5,0.75,0.5607485678046942,17567004.0
1,7.5,1.5,1.401376842521131,42084525.0
1,7.5,2.25,1.401376842521131,42149014.0
1,7.5,3.0,2.3901417972519994,70746488.0
1,7.5,3.75,3.059362323023379,89571628.0
1,10.0,1.0,0.8407476553693414,26013947.0
1,10.0,2.0,1.401376842521131,41945910.0
1,10.0,3.0,2.3901417972519994,70796381.0
1,10.0,4.0,3.059362323023379,89485798.0
1,10.0,5.0,4.048127277754247,118041568.0
1,12.5,1.25,1.1207126341760159,33879296.0
1,12.5,2.5,2.3901417972519994,70637515.0
1,12.5,3.75,3.059362323023379,89380119.0
1,12.5,5.0,4.048127277754247,117987807.0
1,12.5,6.25,4.048127277754247,118153861.0
2,2.5,0.25,0.202579147182405,51486936.0
2,2.5,0.5,0.4261511927470565,52506477.0
2,2.5,0.75,0.6100042378529906,88631878.0
2,2.5,1.0,0.6100042378529906,50901741.0
2,2.5,1.25,0.6100042378529906,78420338.0
2,5.0,0.5,0.4261511927470565,77723363.0
2,5.0,1.0,0.6100042378529906,56751908.0
2,5.0,1.5,0.6100042378529906,55912255.0
2,5.0,2.0,0.6100042378529906,80018900.0
2,5.0,2.5,0.6100042378529906,82875853.0
2,7.5,0.75,0.6100042378529906,57385099.0
2,7.5,1.5,0.6100042378529906,55473826.0
2,7.5,2.25,0.6100042378529906,54474064.0
2,7.5,3.0,0.6100042378529906,66426497.0
2,7.5,3.75,0.6100042378529906,79513307.0
2,10.0,1.0,0.6100042378529906,59174363.0
2,10.0,2.0,0.6100042378529906,73383829.0
2,10.0,3.0,0.6100042378529906,54139683.0
2,10.0,4.0,0.6100042378529906,59356017.0
2,10.0,5.0,0.6100042378529906,71491139.0
2,12.5,1.25,0.6100042378529906,75776441.0
2,12.5,2.5,0.6100042378529906,55533556.0
2,12.5,3.75,0.6100042378529906,79642574.0
2,12.5,5.0,0.6100042378529906,57196639.0
2,12.5,6.25,0.6100042378529906,76722865.0
3,2.5,0.25,0.24948183447122574,8182028.0
3,2.5,0.5,0.3473970480263233,11000913.0
3,2.5,0.75,0.7366164103150368,22212914.0
3,2.5,1.0,0.9435583855956793,28137272.0
3,2.5,1.25,1.1860201712697744,35184089.0
3,5.0,0.5,0.3473970480263233,11057883.0
3,5.0,1.0,0.9435583855956793,28196870.0
3,5.0,1.5,1.498263655230403,44081700.0
3,5.0,2.0,1.9323233403265476,56884265.0
3,5.0,2.5,2.494048658758402,73166099.0
3,7.5,0.75,0.7366164103150368,22199423.0
3,7.5,1.5,1.498263655230403,44140737.0
3,7.5,2.25,2.1747851260006428,63903460.0
3,7.5,3.0,2.871556855738163,83793332.0
3,7.5,3.75,3.15155594330281,91963986.0
3,10.0,1.0,0.9435583855956793,28585865.0
3,10.0,2.0,1.9323233403265476,56911921.0
3,10.0,3.0,2.871556855738163,83735469.0
3,10.0,4.0,3.15155594330281,92029254.0
3,10.0,5.0,4.809541423805058,139599609.0
3,12.5,1.25,1.1860201712697744,35104895.0
3,12.5,2.5,2.494048658758402,73122602.0
3,12.5,3.75,3.15155594330281,92158114.0
3,12.5,5.0,4.809541423805058,139629995.0
3,12.5,6.25,4.809541423805058,139516482.0
4,2.5,0.25,0.24246178567409515,7940500.0
4,2.5,0.5,0.31266074627637863,10031252.0
4,2.5,0.75,0.5922537297010422,18077290.0
4,2.5,1.0,0.9088220838457346,27190210.0
4,2.5,1.25,1.1512838695198298,34219808.0
4,5.0,0.5,0.31266074627637863,10026541.0
4,5.0,1.0,0.9088220838457346,27214219.0
4,5.0,1.5,1.4308768529444933,42197196.0
4,5.0,2.0,1.4308768529444933,42288984.0
4,5.0,2.5,2.410153828561306,70777610.0
4,7.5,0.75,0.5922537297010422,17962960.0
4,7.5,1.5,1.4308768529444933,42312814.0
4,7.5,2.25,2.1305608451366425,62720190.0
4,7.5,3.0,2.410153828561306,70620609.0
4,7.5,3.75,3.4006210919469595,99331190.0
4,10.0,1.0,0.9088220838457346,27582314.0
4,10.0,2.0,1.4308768529444933,42329816.0
4,10.0,3.0,2.410153828561306,70737271.0
4,10.0,4.0,3.4006210919469595,99524600.0
4,10.0,5.0,3.4006210919469595,99418747.0
4,12.5,1.25,1.1512838695198298,34256273.0
4,12.5,2.5,2.410153828561306,70730853.0
4,12.5,3.75,3.4006210919469595,99579479.0
4,12.5,5.0,3.4006210919469595,99525937.0
4,12.5,6.25,3.4006210919469595,99329096.0
5,2.5,0.25,0.24993678834289312,8192627.0
5,2.5,0.5,0.27976018842309713,9071310.0
5,2.5,0.75,0.5593531718477607,17087549.0
5,2.5,1.0,0.8759215259924531,26172979.0
5,2.5,1.25,1.1183833116665483,33253916.0
5,5.0,0.5,0.27976018842309713,9090890.0
5,5.0,1.0,0.8759215259924531,26257518.0
5,5.0,1.5,1.3979762950912118,41227295.0
5,5.0,2.0,1.8864565463736653,55070532.0
5,5.0,2.5,2.4826178839430213,72283797.0
5,7.5,0.75,0.5593531718477607,17068809.0
5,7.5,1.5,1.3979762950912118,41257033.0
5,7.5,2.25,2.166049529798329,63092317.0
5,7.5,3.0,2.9767132690176368,86404757.0
5,10.0,1.0,0.8759215259924531,26461863.0
5,10.0,2.0,1.8864565463736653,55295095.0
5,10.0,3.0,2.9767132690176368,86438676.0
5,10.0,4.0,3.701850486919284,107422641.0
