query_id,peak_mem_usage,total_allocated_bytes_delta
1,2374446400,4517528732
2,161047472,234025826
3,1302688148,2776461540
4,1384148032,2289411880
5,1231437512,3224749060
6,134387368,319256144
7,666360308,1975236020
8,1216850536,1936130829
9,1205421680,5146440844
10,516816812,1731458112
11,160419888,283271952
12,313727336,1422883496
13,935525992,3279222426
14,83265074,426045847
16,131966576,808902080
17,1200291888,1372177208
18,2408426664,4639939360
19,138914722,507673216
20,305222644,866275324
21,1423052112,4808040260
22,222124327,624759083
