query_id,dam_size,table_size,total_allocated_bytes_delta_pool2,total_allocated_bytes_delta_pool3,duration
10,local,remote,9124385008,0,2708995404
1,local,remote,24975665552,0,17584139382
1,local,remote,24975665552,0,17581878262
20,local,remote,3807060626,0,1034571136
20,local,remote,3807060626,0,1042120188
20,local,remote,3807060626,0,1047480732
20,local,remote,3807060626,0,1030388790
20,local,remote,3807060626,0,1025055367
20,local,remote,3807060626,0,1034200451
20,local,remote,3807060626,0,1019739172
20,local,remote,3807060626,0,1032160563
11,local,remote,1285878476,0,168819761
20,local,remote,3807060626,0,1037783364
20,local,remote,3807060626,0,1027261834
21,local,remote,24944979462,0,6228705196
21,local,remote,24944979462,0,6267253018
21,local,remote,24944979462,0,6186480516
21,local,remote,24944979462,0,6243621923
21,local,remote,24944979462,0,6265445949
21,local,remote,24944979462,0,6162566620
21,local,remote,24944979462,0,6215980775
21,local,remote,24944979462,0,6362527377
11,local,remote,1285878476,0,168714532
21,local,remote,24944979462,0,6345148023
21,local,remote,24944979462,0,6226595666
22,local,remote,3952082146,0,738815856
22,local,remote,3952082146,0,728123138
22,local,remote,3952082146,0,742507358
22,local,remote,3952082146,0,720797635
22,local,remote,3952082146,0,734542422
22,local,remote,3952082146,0,720514078
22,local,remote,3952082146,0,711216635
22,local,remote,3952082146,0,716918096
11,local,remote,1285878476,0,164385457
22,local,remote,3952082146,0,729748411
22,local,remote,3952082146,0,717902075
2,local,remote,1114271146,0,89451245
2,local,remote,1114282434,0,99689898
2,local,remote,1114262954,0,98114744
2,local,remote,1114271338,0,104553217
2,local,remote,1114262954,0,105002832
2,local,remote,1114282434,0,96680040
2,local,remote,1114262954,0,105944043
2,local,remote,1114271146,0,116175686
11,local,remote,1285878476,0,170163696
2,local,remote,1114282434,0,111031340
2,local,remote,1114262954,0,105670435
3,local,remote,11829838460,0,2116636135
3,local,remote,11829838460,0,2010490915
3,local,remote,11829838460,0,2042118014
3,local,remote,11829838460,0,2031987831
3,local,remote,11829838460,0,2075285109
3,local,remote,11829838460,0,2059594643
3,local,remote,11829838460,0,2047927775
3,local,remote,11829838460,0,2083651823
11,local,remote,1285878476,0,158322821
3,local,remote,11829838460,0,2013363808
3,local,remote,11829838460,0,2100213780
4,local,remote,11750982056,0,1851334562
4,local,remote,11750982056,0,1813412779
4,local,remote,11750982056,0,1814250131
4,local,remote,11750982056,0,1824429154
4,local,remote,11750982056,0,1813129962
4,local,remote,11750982056,0,1800954509
4,local,remote,11750982056,0,1832398531
4,local,remote,11750982056,0,1818178431
11,local,remote,1285878476,0,169750360
4,local,remote,11750982056,0,1817808195
4,local,remote,11750982056,0,1830732700
5,local,remote,16083043104,0,2641074163
5,local,remote,16083043104,0,2493682003
5,local,remote,16083043104,0,2546047497
5,local,remote,16083043104,0,2649477197
5,local,remote,16083043104,0,2611347866
5,local,remote,16083043104,0,2564235159
5,local,remote,16083043104,0,2558181973
5,local,remote,16083043104,0,2557358892
11,local,remote,1285878476,0,162866283
5,local,remote,16083043104,0,2522910902
5,local,remote,16083043104,0,2520784425
6,local,remote,1320628080,0,264708504
6,local,remote,1320628080,0,264944732
6,local,remote,1320628080,0,261669107
6,local,remote,1320628080,0,264627126
6,local,remote,1320628080,0,262835724
6,local,remote,1320628080,0,261305350
6,local,remote,1320628080,0,261610387
6,local,remote,1320628080,0,261434879
11,local,remote,1285878476,0,165430135
6,local,remote,1320628080,0,263329819
6,local,remote,1320628080,0,266490007
7,local,remote,11135969600,0,1545646593
7,local,remote,11135969600,0,1233908330
7,local,remote,11135969600,0,1457964659
7,local,remote,11135969600,0,1367286627
7,local,remote,11135969600,0,1333714758
7,local,remote,11135969600,0,1328637781
7,local,remote,11135969600,0,1217453022
7,local,remote,11135969600,0,1235740932
11,local,remote,1285878476,0,163934072
7,local,remote,11135969600,0,1332310903
7,local,remote,11135969600,0,1308899168
8,local,remote,9592032951,0,796726228
8,local,remote,9592032951,0,789383864
8,local,remote,9592032951,0,832405275
8,local,remote,9592032951,0,797801026
8,local,remote,9592032951,0,808976890
8,local,remote,9592032951,0,834277876
8,local,remote,9592032951,0,825400369
8,local,remote,9592032951,0,797694018
11,local,remote,1285878476,0,166593074
10,local,remote,9124385008,0,2060563516
8,local,remote,9592032951,0,785310647
8,local,remote,9592032951,0,816797428
9,local,remote,26417320344,0,11070666845
9,local,remote,26417320344,0,9967164348
9,local,remote,26417320344,0,9994577200
9,local,remote,26417320344,0,9920386893
9,local,remote,26417320344,0,10005478652
9,local,remote,26417320344,0,9935895327
9,local,remote,26417320344,0,10029329089
9,local,remote,26417320344,0,10059857657
11,local,remote,1285878476,0,167543494
9,local,remote,26417320344,0,9879792094
9,local,remote,26417320344,0,9936992734
12,local,remote,6845090004,0,2152256821
12,local,remote,6845090004,0,2127997318
12,local,remote,6845090004,0,2120363140
12,local,remote,6845090004,0,2129334796
12,local,remote,6845090004,0,2114970499
12,local,remote,6845090004,0,2119052516
12,local,remote,6845090004,0,2134154329
12,local,remote,6845090004,0,2123244935
12,local,remote,6845090004,0,2124249136
10,local,remote,9124385008,0,1998451692
12,local,remote,6845090004,0,2121073820
12,local,remote,6845090004,0,2142268877
13,local,remote,16703466210,0,14368086203
13,local,remote,16703466210,0,13758516344
13,local,remote,16703466210,0,13711913041
13,local,remote,16703466210,0,13603916773
13,local,remote,16703466210,0,13723725497
13,local,remote,16703466210,0,13760493793
13,local,remote,16703466210,0,13711911215
13,local,remote,16703466210,0,13749957047
10,local,remote,9124385008,0,1990637096
13,local,remote,16703466210,0,13655297652
13,local,remote,16703466210,0,13636050112
14,local,remote,2176131663,0,2235596167
14,local,remote,2176131663,0,2291810097
14,local,remote,2176131663,0,2245378936
14,local,remote,2176131663,0,2272759580
14,local,remote,2176131663,0,2245258899
14,local,remote,2176131663,0,2249154540
14,local,remote,2176131663,0,2235496514
14,local,remote,2176131663,0,2228996293
10,local,remote,9124385008,0,1974048832
14,local,remote,2176131663,0,2309510879
14,local,remote,2176131663,0,2247695208
16,local,remote,4026449962,0,2308395592
16,local,remote,4026449962,0,2258484747
16,local,remote,4026449962,0,2276904185
16,local,remote,4026449962,0,2294843438
16,local,remote,4026449962,0,2263033703
16,local,remote,4026449962,0,2295080017
16,local,remote,4026449962,0,2269287809
16,local,remote,4026449962,0,2297033208
10,local,remote,9124385008,0,1980443955
16,local,remote,4026449962,0,2264728038
16,local,remote,4026449962,0,2264408423
17,local,remote,6858916548,0,430548631
17,local,remote,6858916772,0,421657905
17,local,remote,6858932772,0,416534268
17,local,remote,6858916548,0,416559358
17,local,remote,6858917796,0,422771213
17,local,remote,6858932772,0,410897428
17,local,remote,6858916772,0,418460968
17,local,remote,6858915524,0,419616976
10,local,remote,9124385008,0,1976589207
17,local,remote,6858915524,0,417473299
17,local,remote,6858915524,0,419163871
18,local,remote,23208832564,0,4417440521
18,local,remote,23208832852,0,4408259521
18,local,remote,23208834724,0,4366790560
18,local,remote,23208832852,0,4366175600
18,local,remote,23208815116,0,4393053680
18,local,remote,23208835876,0,4361405376
18,local,remote,23208819004,0,4343047162
18,local,remote,23208833572,0,4354614444
10,local,remote,9124385008,0,2048032035
18,local,remote,23208817276,0,4323108978
18,local,remote,23208816556,0,4352715950
19,local,remote,2078061348,0,290800071
19,local,remote,2078112292,0,294240664
19,local,remote,2078139124,0,296238934
19,local,remote,2078099356,0,295672839
19,local,remote,2078110964,0,297832426
19,local,remote,2078145164,0,295317393
19,local,remote,2078174148,0,297644309
19,local,remote,2078077044,0,294186295
10,local,remote,9124385008,0,1986188758
19,local,remote,2078098084,0,287038539
19,local,remote,2078186700,0,288616003
1,local,remote,24975665552,0,19169396395
1,local,remote,24975665552,0,17561600015
1,local,remote,24975665552,0,17613846195
1,local,remote,24975665552,0,17574824251
1,local,remote,24975665552,0,17589679010
1,local,remote,24975665552,0,17575899797
1,local,remote,24975665552,0,17554076387
1,local,remote,24975665552,0,17611633065
10,local,remote,9124385008,0,1972325486
