query_id,dam_size_gb,table_size_gb,baseline,ideal,best_duration,migration_duration_ns
1,12.5,1.25,17741697275.9,18434578908.3,17554508782.3,66259435.7
2,2.5,0.25,103231348.0,84435556.7,179411028.9,98322456.5
3,10,3,2058126983.3,1904560561.9,1842292761.3999999,164658203.59999996
4,10,1,1821662895.4,1408973466.6,1480950915.1,52051852.5
5,12.5,5,2566510007.7,2079338365.6,2170846246.0,212915657.0
6,2.5,0.25,263295563.5,238210821.2,264389776.8,0.0
7,12.5,3.75,1336156277.3,1097731656.1,1177411543.2,205743985.6
8,12.5,3.75,808477362.1,576968965.3,795358372.6,206499019.6
9,10,5,10080014083.9,7362121764.4,7249150513.400001,281565258.79999995
10,5,2,2069627598.1,2005388328.8,1829483748.6,114510939.8
11,2.5,0.25,166047607.72727272,148774644.0,178884884.20000002,14764882.4
12,12.5,6.25,2128087835.1818182,1463549626.7272727,1676527531.3,251101401.1
13,10,5,13767986767.7,10110216248.8,9423286747.1,41407469.7
14,7.5,0.75,2256165711.3,2199449226.1,2231343180.7999997,22992982.6
16,10,3,2279219916.0,1630290137.2,1705429715.5,95796869.7
17,10,2,419368391.7,255848621.6,372190253.1,113354507.5
18,5,0.5,4368661179.2,6665823554.7,4375472548.8,18531419.2
19,2.5,0.25,293758747.3,242212228.8,298303468.40000004,6287101.6
20,10,3,1033076159.7,701463236.0,988681477.2,170113993.6
21,12.5,6.25,6250432506.3,5436451372.7,5335153378.3,349878980.3
22,5,1.5,726108570.4,559256759.4,582591047.4,47029492.8
