query_id,dam_size,table_size,total_allocated_bytes_delta_pool2,total_allocated_bytes_delta_pool3,duration
10,10737418240,1073741824,9124385008,0,2621719643
22,13421772800,6710886400,3952082146,0,547366865
22,13421772800,6710886400,3952082146,0,540353276
22,13421772800,6710886400,3952082146,0,541647922
22,13421772800,6710886400,3952082146,0,537799121
22,13421772800,6710886400,3952082146,0,541739431
2,13421772800,6710886400,1114282626,0,84026984
2,13421772800,6710886400,1114437322,0,87369810
2,13421772800,6710886400,1114282626,0,87345231
2,13421772800,6710886400,1114282626,0,87679756
2,13421772800,6710886400,1114262954,0,79058364
9,10737418240,1073741824,26417320344,0,10991307492
3,13421772800,6710886400,11829838460,0,1652639372
3,13421772800,6710886400,11829838460,0,1629529275
3,13421772800,6710886400,11829838460,0,1648507144
3,13421772800,6710886400,11829838460,0,1631236929
3,13421772800,6710886400,11829838460,0,1661344506
4,13421772800,6710886400,11750982056,0,1336444302
4,13421772800,6710886400,11750982056,0,1327482842
4,13421772800,6710886400,11750982056,0,1315083037
4,13421772800,6710886400,11750982056,0,1326582132
4,13421772800,6710886400,11750982056,0,1325081776
9,10737418240,1073741824,26417320344,0,10668667790
5,13421772800,6710886400,16083043104,0,1956261012
5,13421772800,6710886400,16083043104,0,1951922976
5,13421772800,6710886400,16083043104,0,1942458882
5,13421772800,6710886400,16083043104,0,1970797176
5,13421772800,6710886400,16083043104,0,1937138276
6,13421772800,6710886400,1320628080,0,241552951
6,13421772800,6710886400,1320628080,0,238115886
6,13421772800,6710886400,1320628080,0,241530901
6,13421772800,6710886400,1320628080,0,242347653
6,13421772800,6710886400,1320628080,0,239728510
9,10737418240,1073741824,26417320344,0,10214829928
7,13421772800,6710886400,11135969600,0,970946769
7,13421772800,6710886400,11135969600,0,957851121
7,13421772800,6710886400,11135969600,0,939451786
7,13421772800,6710886400,11135969600,0,959930450
7,13421772800,6710886400,11135969600,0,1090019583
8,13421772800,6710886400,9592032951,0,553393179
8,13421772800,6710886400,9592032951,0,572984872
8,13421772800,6710886400,9592032951,0,546622206
8,13421772800,6710886400,9592032951,0,559229340
8,13421772800,6710886400,9592032951,0,550037433
9,10737418240,1073741824,26417320344,0,10057382500
9,13421772800,6710886400,26417320344,0,6940016462
9,13421772800,6710886400,26417320344,0,6898164065
9,13421772800,6710886400,26417320344,0,6894840771
9,13421772800,6710886400,26417320344,0,7023697798
9,13421772800,6710886400,26417320344,0,6953908581
10,2684354560,268435456,9088724656,35660352,2035487036
10,2684354560,268435456,8916140888,208244120,2059114919
10,2684354560,268435456,9088724656,35660352,2058276778
10,2684354560,268435456,9088724656,35660352,2044103010
10,2684354560,268435456,8916164640,208220368,2096082829
9,10737418240,1073741824,26417320344,0,9298930816
11,2684354560,268435456,1285878476,0,169088172
11,2684354560,268435456,1285878476,0,157452689
11,2684354560,268435456,1285878476,0,167872194
11,2684354560,268435456,1285878476,0,164537787
11,2684354560,268435456,1285878476,0,161649167
12,2684354560,268435456,6845090004,0,2155089403
12,2684354560,268435456,6845090004,0,2123208073
12,2684354560,268435456,6845090004,0,2129864667
12,2684354560,268435456,6845090004,0,2112755698
12,2684354560,268435456,6845090004,0,2124729359
10,10737418240,2147483648,9124385008,0,1715736804
13,2684354560,268435456,13220882562,3482583648,14011345735
13,2684354560,268435456,13221004034,3482462176,13960177884
13,2684354560,268435456,13221187818,3482278392,13982271978
13,2684354560,268435456,13220996498,3482469712,13817297319
13,2684354560,268435456,13221138938,3482327272,14033702572
14,2684354560,268435456,2176131663,0,2246230919
14,2684354560,268435456,2176131663,0,2271214508
14,2684354560,268435456,2176131663,0,2173284861
14,2684354560,268435456,2176131663,0,2315455425
14,2684354560,268435456,2176131663,0,2311694412
10,10737418240,2147483648,9124385008,0,1750319464
16,2684354560,268435456,4026449962,0,2194584990
16,2684354560,268435456,4026449962,0,2214675158
16,2684354560,268435456,4026449962,0,2131636782
16,2684354560,268435456,4026449962,0,2167231875
16,2684354560,268435456,4026449962,0,2139242226
17,2684354560,268435456,6858776412,140360,425370992
17,2684354560,268435456,6858775164,140360,416486152
17,2684354560,268435456,6858775164,140360,418476462
17,2684354560,268435456,6858775164,140360,412441432
17,2684354560,268435456,6858929452,140360,409222524
10,10737418240,2147483648,9124385008,0,1742553397
18,2684354560,268435456,14445006680,8763825660,4445990949
18,2684354560,268435456,14445006680,8763829692,4432356147
18,2684354560,268435456,14445006680,8763811380,4397820093
18,2684354560,268435456,14445006680,8763809076,4428319148
18,2684354560,268435456,14445006680,8763810804,4428408557
19,2684354560,268435456,2078143356,0,310319927
19,2684354560,268435456,2078168076,0,285227489
19,2684354560,268435456,2078109428,0,286684294
19,2684354560,268435456,2078205548,0,293373397
19,2684354560,268435456,2078171596,0,284476727
10,10737418240,2147483648,9124385008,0,1728797992
1,2684354560,268435456,4039139360,20936526288,20659253804
1,2684354560,268435456,4037565592,20938100056,18184375242
1,2684354560,268435456,4037565592,20938100056,18082582047
1,2684354560,268435456,17053359336,7922306312,18073768940
1,2684354560,268435456,17053359336,7922306312,17941664468
20,2684354560,268435456,3807060626,0,1034121050
20,2684354560,268435456,3807060626,0,1044821263
20,2684354560,268435456,3807060626,0,1040214879
20,2684354560,268435456,3807060626,0,1024553126
20,2684354560,268435456,3807060626,0,1031743403
10,10737418240,2147483648,9124385008,0,1725186217
12,10737418240,1073741824,6845090004,0,2124028381
21,2684354560,268435456,24873030662,71948800,6545170118
21,2684354560,268435456,24873030662,71948800,6445179512
21,2684354560,268435456,24873387902,71591560,6512610545
21,2684354560,268435456,24873030662,71948800,6402113774
21,2684354560,268435456,24873387902,71591560,6509236490
22,2684354560,268435456,3952082146,0,695086760
22,2684354560,268435456,3952082146,0,691422888
22,2684354560,268435456,3952082146,0,686227970
22,2684354560,268435456,3952082146,0,676682315
22,2684354560,268435456,3952082146,0,682726374
11,10737418240,2147483648,1285878476,0,146515824
2,2684354560,268435456,1114282626,0,83213531
2,2684354560,268435456,1114262954,0,77896304
2,2684354560,268435456,1114282626,0,90602199
2,2684354560,268435456,1114262954,0,73694605
2,2684354560,268435456,1114262954,0,80036223
3,2684354560,268435456,11687214588,142623872,2057074230
3,2684354560,268435456,11687214588,142623872,2057013520
3,2684354560,268435456,11687214588,142623872,2048816579
3,2684354560,268435456,11687214588,142623872,2036966865
3,2684354560,268435456,11687214588,142623872,2039273211
11,10737418240,2147483648,1285878476,0,148633717
4,2684354560,268435456,11715321704,35660352,1938058882
4,2684354560,268435456,11715321704,35660352,1921082729
4,2684354560,268435456,11715321704,35660352,1944369268
4,2684354560,268435456,11715321704,35660352,1929742932
4,2684354560,268435456,11715321704,35660352,1944482405
5,2684354560,268435456,16081927896,1115208,2530850830
5,2684354560,268435456,16081927896,1115208,2528448652
5,2684354560,268435456,16081927896,1115208,2554354025
5,2684354560,268435456,16081927896,1115208,2577622053
5,2684354560,268435456,16081927896,1115208,2559730538
11,10737418240,2147483648,1285878476,0,150244206
6,2684354560,268435456,1320628080,0,268562334
6,2684354560,268435456,1320628080,0,263634672
6,2684354560,268435456,1320628080,0,265921959
6,2684354560,268435456,1320628080,0,262589633
6,2684354560,268435456,1320628080,0,261240286
7,2684354560,268435456,10828493056,307476544,1344768906
7,2684354560,268435456,11126494168,9475432,1287447063
7,2684354560,268435456,10423916480,712053120,1279067706
7,2684354560,268435456,10423916480,712053120,1302481804
7,2684354560,268435456,10383541168,752428432,1478103854
11,10737418240,2147483648,1285878476,0,144292925
8,2684354560,268435456,8514359319,1077673632,834657798
8,2684354560,268435456,8485570983,1106461968,871319315
8,2684354560,268435456,9536593759,55439192,802435768
8,2684354560,268435456,8476305271,1115727680,890931981
8,2684354560,268435456,8509988967,1082043984,818893594
9,2684354560,268435456,25210556944,1206763400,10009550023
9,2684354560,268435456,25210556944,1206763400,9920099185
9,2684354560,268435456,25210556944,1206763400,10681051128
9,2684354560,268435456,25210556944,1206763400,9886691444
9,2684354560,268435456,25210556944,1206763400,10910982063
11,10737418240,2147483648,1285878476,0,144130077
10,2684354560,536870912,9088724656,35660352,1894630311
10,2684354560,536870912,9088724656,35660352,1923341425
10,2684354560,536870912,8910186888,214198120,1917072377
10,2684354560,536870912,8898297224,226087784,1916573812
10,2684354560,536870912,9088724656,35660352,1906572500
11,2684354560,536870912,1285878476,0,157171867
11,2684354560,536870912,1285878476,0,152884880
11,2684354560,536870912,1285878476,0,160900371
11,2684354560,536870912,1285878476,0,155491664
11,2684354560,536870912,1285878476,0,148193827
12,10737418240,2147483648,6845090004,0,1974186007
12,2684354560,536870912,6845090004,0,1994010550
12,2684354560,536870912,6845090004,0,1973910339
12,2684354560,536870912,6845090004,0,1981554223
12,2684354560,536870912,6845090004,0,1968915338
12,2684354560,536870912,6845090004,0,1989254986
13,2684354560,536870912,12072400402,4631065808,13891250705
13,2684354560,536870912,12035319290,4668146920,13937763893
13,2684354560,536870912,12035341994,4668124216,13957167922
13,2684354560,536870912,12053877466,4649588744,13997218505
13,2684354560,536870912,12035341994,4668124216,13919227244
12,10737418240,2147483648,6845090004,0,1940336936
14,2684354560,536870912,2176131663,0,2357846784
14,2684354560,536870912,2176131663,0,2232639760
14,2684354560,536870912,2176131663,0,2302404806
14,2684354560,536870912,2176131663,0,2237930067
14,2684354560,536870912,2176131663,0,2302323865
16,2684354560,536870912,4026449962,0,1608237543
16,2684354560,536870912,4026449962,0,1639465493
16,2684354560,536870912,4026449962,0,1623430362
16,2684354560,536870912,4026449962,0,1634283724
16,2684354560,536870912,4026449962,0,1620965466
12,10737418240,2147483648,6845090004,0,1941813107
17,2684354560,536870912,6858912204,140360,397716345
17,2684354560,536870912,6858929452,140360,389509607
17,2684354560,536870912,6858776188,140360,386738795
17,2684354560,536870912,6858775164,140360,390225190
17,2684354560,536870912,6858775164,140360,377520587
18,2684354560,536870912,7245006616,15963808852,6703517715
18,2684354560,536870912,7245006616,15963810292,6616302242
18,2684354560,536870912,7245006616,15963829324,6698049834
18,2684354560,536870912,7245006616,15963809140,6700537567
18,2684354560,536870912,7245006616,15963826156,6610811959
12,10737418240,2147483648,6845090004,0,1933354473
19,2684354560,536870912,2078090244,0,303069357
19,2684354560,536870912,2078115204,0,283847418
19,2684354560,536870912,2078174092,0,288190295
19,2684354560,536870912,2078172052,0,288575411
19,2684354560,536870912,2078134196,0,285047787
1,2684354560,536870912,3587226864,21388438784,18518965481
1,2684354560,536870912,3585652256,21390013392,18194016379
1,2684354560,536870912,16601446840,8374218808,17970437837
1,2684354560,536870912,8313621840,16662043712,17989242086
1,2684354560,536870912,8315196448,16660469104,17995671199
12,10737418240,2147483648,6845090004,0,1931687733
12,10737418240,1073741824,6845090004,0,2078147243
20,2684354560,536870912,3807060626,0,1010037267
20,2684354560,536870912,3807060626,0,1006419532
20,2684354560,536870912,3807060626,0,998764749
20,2684354560,536870912,3807060626,0,1023905018
20,2684354560,536870912,3807060626,0,1033934138
21,2684354560,536870912,24873030662,71948800,6349071914
21,2684354560,536870912,24873030662,71948800,6503543000
21,2684354560,536870912,24873387902,71591560,6498668407
21,2684354560,536870912,24873387902,71591560,6416539916
21,2684354560,536870912,24873387902,71591560,6416010671
13,10737418240,2147483648,16703466210,0,9321171713
22,2684354560,536870912,3952082146,0,654383995
22,2684354560,536870912,3952082146,0,652688232
22,2684354560,536870912,3952082146,0,648306575
22,2684354560,536870912,3952082146,0,645305355
22,2684354560,536870912,3952082146,0,645218526
2,2684354560,536870912,1114301914,0,87787433
2,2684354560,536870912,1114302106,0,100659955
2,2684354560,536870912,1114282434,0,85485806
2,2684354560,536870912,1114263146,0,82738823
2,2684354560,536870912,1114262954,0,86988961
13,10737418240,2147483648,16703466210,0,9457103150
3,2684354560,536870912,11669371260,160467200,2093866123
3,2684354560,536870912,11627929124,201909336,1981879092
3,2684354560,536870912,11546101492,283736968,2043685494
3,2684354560,536870912,11669371260,160467200,2097317199
3,2684354560,536870912,11561831540,268006920,2079854873
4,2684354560,536870912,11715321704,35660352,1591975235
4,2684354560,536870912,11715321704,35660352,1578966395
4,2684354560,536870912,11715321704,35660352,1583634038
4,2684354560,536870912,11715321704,35660352,1576182423
4,2684354560,536870912,11715321704,35660352,1579551589
13,10737418240,2147483648,16703466210,0,9612902608
5,2684354560,536870912,16081433256,1609848,2549543236
5,2684354560,536870912,16081433256,1609848,2511743103
5,2684354560,536870912,16081927896,1115208,2536170559
5,2684354560,536870912,16081433256,1609848,2564644704
5,2684354560,536870912,16081927896,1115208,2557828082
6,2684354560,536870912,1320628080,0,265293369
6,2684354560,536870912,1320628080,0,259204950
6,2684354560,536870912,1320628080,0,258314558
6,2684354560,536870912,1320628080,0,256655966
6,2684354560,536870912,1320628080,0,257195070
13,10737418240,2147483648,16703466210,0,9382468081
7,2684354560,536870912,8192509252,2943460348,1287380015
7,2684354560,536870912,8429150756,2706818844,1202837779
7,2684354560,536870912,8197231588,2938738012,1231754030
