query_id,dam_size,table_size,total_allocated_bytes_delta_pool2,total_allocated_bytes_delta_pool3,duration
10,local,local,3547915756,5576469252,2703090319
1,local,local,1209569624,23766096024,18389400694
1,local,local,1211144232,23764521416,18181833501
20,local,local,3790458426,16602200,696359243
20,local,local,3664149506,142911120,704829395
20,local,local,3757820866,49239760,708294889
20,local,local,3610805146,196255480,695420722
20,local,local,3759044186,48016440,689917900
20,local,local,3751179986,55880640,712189939
20,local,local,3663450466,143610160,728107074
20,local,local,3678653626,128407000,691961458
11,local,local,1285878476,0,158957507
20,local,local,3694208226,112852400,692922179
20,local,local,3676732226,130328400,694629561
21,local,local,24279366406,665613056,6131489341
21,local,local,24279439926,665539536,5318563145
21,local,local,24279374078,665605384,5371210409
21,local,local,24302892414,642087048,5342386456
21,local,local,24279009070,665970392,5279768464
21,local,local,24279366310,665613152,5341904729
21,local,local,24256481038,688498424,5472100449
21,local,local,24302535174,642444288,5311571991
11,local,local,1285878476,0,139585607
21,local,local,24253840558,691138904,5406755914
21,local,local,24302535174,642444288,5388762829
22,local,local,3599849586,352232560,574052689
22,local,local,3599849586,352232560,553682520
22,local,local,3599849586,352232560,558622049
22,local,local,3599849586,352232560,556116415
22,local,local,3599849586,352232560,554603701
22,local,local,3599849586,352232560,556316903
22,local,local,3599849586,352232560,555855538
22,local,local,3599849586,352232560,569574275
11,local,local,1285878476,0,140202281
22,local,local,3599849586,352232560,560910265
22,local,local,3599849586,352232560,552833239
2,local,local,1114282626,0,79138539
2,local,local,1114262954,0,82369407
2,local,local,1114290626,0,82776192
2,local,local,1114262954,0,84341586
2,local,local,1114302106,0,81397666
2,local,local,1114282434,0,86558753
2,local,local,1114282434,0,87360784
2,local,local,1114302298,0,91580250
11,local,local,1285878476,0,151385975
2,local,local,1114262954,0,85004309
2,local,local,1114282626,0,83828081
3,local,local,8371785328,3458053132,1950827807
3,local,local,8371260744,3458577716,1925988894
3,local,local,8371260744,3458577716,1891779008
3,local,local,8370736160,3459102300,1955710566
3,local,local,8371785328,3458053132,1877166660
3,local,local,9812868484,2016969976,1785738228
3,local,local,8371260744,3458577716,1899207011
3,local,local,8372309912,3457528548,1921301332
11,local,local,1285878476,0,149082479
3,local,local,8371785328,3458053132,1953446259
3,local,local,8371785328,3458053132,1884439854
4,local,local,11715321704,35660352,1418375425
4,local,local,11715321704,35660352,1404796486
4,local,local,11715321704,35660352,1409607496
4,local,local,11715321704,35660352,1408090872
4,local,local,11715321704,35660352,1414718243
4,local,local,11715321704,35660352,1414872082
4,local,local,11715321704,35660352,1401096735
4,local,local,11715321704,35660352,1412435616
11,local,local,1285878476,0,151513834
4,local,local,11715321704,35660352,1403828726
4,local,local,11715321704,35660352,1401912985
5,local,local,15741000480,342042624,2052084985
5,local,local,15748524312,334518792,2063178770
5,local,local,15709575048,373468056,2077128385
5,local,local,15748651408,334391696,2042432434
5,local,local,15709206800,373836304,2079634739
5,local,local,15750317088,332726016,2096376285
5,local,local,15710205008,372838096,2071807879
5,local,local,15749647448,333395656,2069269875
11,local,local,1285878476,0,155777310
5,local,local,15725353584,357689520,2114352249
5,local,local,15748329984,334713120,2127118055
6,local,local,1320628080,0,237749795
6,local,local,1320628080,0,240540696
6,local,local,1320628080,0,236434269
6,local,local,1320628080,0,237036783
6,local,local,1320628080,0,236641407
6,local,local,1320628080,0,236078162
6,local,local,1320628080,0,235489908
6,local,local,1320628080,0,238930402
