query_id,d2.5GB_tf0.25GB,d2.5GB_tf0.5GB,d5GB_tf0.5GB,d2.5GB_tf0.75GB,d7.5GB_tf0.75GB,d2.5GB_tf1GB,d5GB_tf1GB,d10GB_tf1GB,d2.5GB_tf1.25GB,d12.5GB_tf1.25GB,d5GB_tf1.5GB,d7.5GB_tf1.5GB,d5GB_tf2GB,d10GB_tf2GB,d7.5GB_tf2.25GB,d5GB_tf2.5GB,d12.5GB_tf2.5GB,d7.5GB_tf3GB,d10GB_tf3GB,d7.5GB_tf3.75GB,d12.5GB_tf3.75GB,d10GB_tf4GB,d10GB_tf5GB,d12.5GB_tf5GB,d12.5GB_tf6.25GB,baseline,ideal
1,18588328900.2,18150272265.100002,17824123607.9,18231745128.8,17829525887.199997,18287782906.2,17949516636.8,17925103869.8,18303529706.100002,17554508782.3,18046156981.7,17859269130.5,18025602438.5,18209141374.7,17860556703.7,18177158469.6,17645601937.2,17939734442.2,17912780348.0,17972284601.7,17600693149.5,17890346576.9,17945548562.6,17935513222.0,17918378638.399998,17741697275.9,18434578908.3
2,179411028.9,200118076.2,202003355.2,210767066.4,202988230.2,209258304.0,211082815.6,210871179.0,204786922.2,208918909.4,206186332.4,206678280.8,204896479.4,210224959.2,209570472.0,210184447.2,203852007.2,209409684.4,209629786.2,207928521.8,211559400.2,206483162.6,208288238.8,200139572.2,207459712.0,103231348.0,84435556.7
3,2063965090.8,2081826556.2,1970931446.4,2008749747.7,1952946207.3,2181628574.7,2098511491.9,2080855327.5,2082782434.4,1938063899.0,1922642444.8000002,1889256360.0,2197241994.2000003,2135603685.2,1968266701.3000002,1995238188.0,1927181087.0,1858261181.6,1842292761.3999999,1872675567.8,1866624355.8,1854433610.6000001,1931116081.6,1928784494.6,1918219872.2,2058126983.3,1904560561.9
4,1950606899.3,1602182232.6,1521569349.1999998,1635079229.6,1528652813.0,1572829090.3,1484475640.3,1480950915.1,1584590740.3999999,1498979218.0,1482795389.0,1489611770.8,1506945038.2,1495037709.6,1534415057.0,1619053447.0,1532656669.8,1534746695.0,1536453231.8,1517319708.5,1524873924.7,1527116394.3,1518103449.7,1520641438.3,1519878962.1,1821662895.4,1408973466.6
5,2568315825.2999997,2564581402.1000004,2530041837.7000003,2582428365.8999996,2584028502.8999996,2358321492.6,2403944533.7999997,2380457245.6,2466974696.9,2424926584.1000004,2397762758.1,2444156084.7,2444433716.7,2451973167.2999997,2421397869.1,2287424159.4,2284236668.8,2274225438.7,2275206229.5,,,2183494122.6,2176090110.2,2170846246.0,2257068071.2000003,2566510007.7,2079338365.6
6,264389776.8,275806256.2,274195201.40000004,285851954.2,287413505.4,317581230.9,318376966.7,316054156.09999996,317602482.09999996,318834767.3,328617281.5,327941826.7,339833517.1,337856785.5,339290890.9,336647749.29999995,339598456.29999995,339620252.9,339533708.1,420418045.9,421525880.3,421268961.7,423288503.3,422229873.1,421850344.7,263295563.5,238210821.2
7,1343085834.6,1273436230.8999999,1251817950.8999999,1355404356.9,1190256448.1000001,1426561105.3000002,1311039946.9,1363615211.7,1398085766.7,1293034559.1000001,1291120070.0,1303275045.8,1255954225.0,1236334817.0,1241910424.6000001,1361375365.8,1293489459.6000001,1258345429.3,1327161157.1000001,1207460160.3999999,1177411543.2,1274620378.3999999,1231801723.8,1194474677.0,1328811889.2,1336156277.3,1097731656.1
8,861762296.9000001,855195400.3,825951737.3,872653055.8000001,824479180.0,822510972.0,831074886.8,811880707.2,839589550.2,823160786.4,819870933.4,833579258.2,829085793.5,827759945.9,816092603.6999999,865949332.0,841300896.2,829573534.2,821486914.8,831245596.4,795358372.6,803406726.4000001,816560249.8,811431726.5999999,868823451.6,808477362.1,576968965.3
9,10292669948.6,10156747790.4,9851495509.0,9880689799.7,9492652140.7,9690640662.5,9534600734.5,10297341499.1,9307212299.6,9276543476.6,8987494621.4,8957407712.800001,9179104324.0,9187292889.6,9197382138.0,8499909455.3,8890992022.9,8529492586.599999,8173600279.2,8427588621.599999,8112159507.2,8566241300.400001,7249150513.400001,7616264492.400001,7270682006.2,10080014083.9,7362121764.4
10,2074925214.3000002,1931543295.7,1868289987.5,1960682303.3999999,1907422259.0,1993974858.2,1888320050.2,2061807376.2,1999277386.3,1849709724.1000001,1859285220.2,1877939763.6,1829483748.6,1847029714.6,1832908479.0,1857411605.5,1852684207.6999998,1872890183.6999998,1853339596.1,1880433477.8,1889488614.8,1909295728.5,1897657913.3000002,1899595766.1000001,1904605090.3000002,2069627598.1,2005388328.8
