query_id,dam_size_gb,table_size_gb,baseline,ideal,best_duration,migration_duration_ns
1,12.5,1.25,17741697275.9,,18079190263.7,66259435.7
2,2.5,0.25,103231348.0,,183584507.9,98322456.5
3,12.5,3.75,2058126983.3,,1844340546.0,181131677.2
4,10,1,1821662895.4,,1477423261.3,52051852.5
5,12.5,3.75,2566510007.7,,1982032434.4,0.0
6,2.5,0.25,263295563.5,,266122743.2,0.0
7,7.5,0.75,1336156277.3,,1206860980.5,44169921.7
8,7.5,3.75,808477362.1,,798426364.2,206499019.6
9,12.5,6.25,10080014083.9,,7232482714.6,328556470.79999995
10,5,1.5,2069627598.1,,1842178613.6,81956078.8
11,2.5,0.25,166047607.72727272,,176847050.20000002,14764882.4
12,12.5,5,2128087835.1818182,,1684295762.5,251101401.1
13,12.5,1.25,13767986767.7,,9382448239.5,41407469.7
14,2.5,0.25,2256165711.3,,2292989976.0,6519509.0
16,7.5,0.75,2279219916.0,,1695426163.9,95796869.7
17,7.5,2.25,419368391.7,,375115539.7,114579435.5
18,5,0.5,4368661179.2,,4360454046.0,18531419.2
19,2.5,0.25,293758747.3,,298614026.40000004,6287101.6
20,5,0.5,1033076159.7,,1062398488.8000001,30094086.6
21,12.5,5,6250432506.3,,5293251357.900001,349878980.3
22,10,2,726108570.4,,579883456.4,47029492.8
