query_id,dam_size,table_size,total_allocated_bytes_delta_pool2,total_allocated_bytes_delta_pool3,duration
10,10737418240,1073741824,9124385008,0,2610833443
21,13421772800,6710886400,24944979462,0,5038852144
21,13421772800,6710886400,24944979462,0,4979248253
21,13421772800,6710886400,24944979462,0,4975645800
21,13421772800,6710886400,24944979462,0,4916075437
21,13421772800,6710886400,24944979462,0,4934167036
22,13421772800,6710886400,3952082146,0,555257405
22,13421772800,6710886400,3952082146,0,535311715
22,13421772800,6710886400,3952082146,0,536373035
22,13421772800,6710886400,3952082146,0,533950718
22,13421772800,6710886400,3952082146,0,535255276
9,10737418240,1073741824,26417320344,0,9253934285
2,13421772800,6710886400,1114310490,0,85297903
2,13421772800,6710886400,1114282434,0,85070596
2,13421772800,6710886400,1114282818,0,84378813
2,13421772800,6710886400,1114271146,0,72562782
2,13421772800,6710886400,1114417842,0,81609261
3,13421772800,6710886400,11829838460,0,1700246939
3,13421772800,6710886400,11829838460,0,1689147211
3,13421772800,6710886400,11829838460,0,1659832845
3,13421772800,6710886400,11829838460,0,1640831916
3,13421772800,6710886400,11829838460,0,1650656267
9,10737418240,1073741824,26417320344,0,9235265399
4,13421772800,6710886400,11750982056,0,1332143141
4,13421772800,6710886400,11750982056,0,1308972915
4,13421772800,6710886400,11750982056,0,1311543609
4,13421772800,6710886400,11750982056,0,1315077064
4,13421772800,6710886400,11750982056,0,1316794286
5,13421772800,6710886400,16083043104,0,1988585955
5,13421772800,6710886400,16083043104,0,1972309418
5,13421772800,6710886400,16083043104,0,1951933044
5,13421772800,6710886400,16083043104,0,1935793037
5,13421772800,6710886400,16083043104,0,1983662285
9,10737418240,1073741824,26417320344,0,9097511967
6,13421772800,6710886400,1320628080,0,246885424
6,13421772800,6710886400,1320628080,0,240711837
6,13421772800,6710886400,1320628080,0,240277722
6,13421772800,6710886400,1320628080,0,238566368
6,13421772800,6710886400,1320628080,0,241222481
7,13421772800,6710886400,11135969600,0,971845769
7,13421772800,6710886400,11135969600,0,949596832
7,13421772800,6710886400,11135969600,0,1007263061
7,13421772800,6710886400,11135969600,0,934314546
7,13421772800,6710886400,11135969600,0,949386334
9,10737418240,1073741824,26417320344,0,8990641241
8,13421772800,6710886400,9592032951,0,604847864
8,13421772800,6710886400,9592032951,0,572193452
8,13421772800,6710886400,9592032951,0,571837116
8,13421772800,6710886400,9592032951,0,585796375
8,13421772800,6710886400,9592032951,0,569323141
9,13421772800,6710886400,26417320344,0,6918826109
9,13421772800,6710886400,26417320344,0,6858448378
9,13421772800,6710886400,26417320344,0,6926519274
9,13421772800,6710886400,26417320344,0,6875427470
9,13421772800,6710886400,26417320344,0,6940409988
9,10737418240,1073741824,26417320344,0,9226726548
10,2684354560,268435456,8922129832,202255176,1907474374
10,2684354560,268435456,9035133784,89251224,1903205367
10,2684354560,268435456,9088724656,35660352,1924295015
10,2684354560,268435456,9088724656,35660352,1946968427
10,2684354560,268435456,8957829704,166555304,1905757001
11,2684354560,268435456,1285878476,0,159450697
11,2684354560,268435456,1285878476,0,160770103
11,2684354560,268435456,1285878476,0,161592345
11,2684354560,268435456,1285878476,0,162716653
11,2684354560,268435456,1285878476,0,165881041
10,10737418240,2147483648,9124385008,0,1822560475
12,2684354560,268435456,6845090004,0,2142796092
12,2684354560,268435456,6845090004,0,2122570096
12,2684354560,268435456,6845090004,0,2116688346
12,2684354560,268435456,6845090004,0,2127492687
12,2684354560,268435456,6845090004,0,2114714465
13,2684354560,268435456,13221020210,3482446000,13904645221
13,2684354560,268435456,13220914306,3482551904,14000042146
13,2684354560,268435456,13221251210,3482215000,13834666483
13,2684354560,268435456,13221192754,3482273456,13989493141
13,2684354560,268435456,13220940450,3482525760,13954991971
10,10737418240,2147483648,9124385008,0,1759173252
14,2684354560,268435456,2176131663,0,2268007802
14,2684354560,268435456,2176131663,0,2341276616
14,2684354560,268435456,2176131663,0,2211813208
14,2684354560,268435456,2176131663,0,2311829622
14,2684354560,268435456,2176131663,0,2299425087
16,2684354560,268435456,4026449962,0,2151298257
16,2684354560,268435456,4026449962,0,2195559842
16,2684354560,268435456,4026449962,0,2163220918
16,2684354560,268435456,4026449962,0,2152938272
16,2684354560,268435456,4026449962,0,2159427356
10,10737418240,2147483648,9124385008,0,1774764018
17,2684354560,268435456,6858775164,140360,421260706
17,2684354560,268435456,6858759164,140360,424662852
17,2684354560,268435456,6858776412,140360,417513604
17,2684354560,268435456,6858776412,140360,417896520
17,2684354560,268435456,6858792412,140360,408903961
18,2684354560,268435456,14445006680,8763810372,4462129439
18,2684354560,268435456,14445006680,8763810804,4457498645
18,2684354560,268435456,14445006680,8763827244,4430924163
18,2684354560,268435456,14445006680,8763809940,4392030534
18,2684354560,268435456,14445006680,8763827964,4413551028
10,10737418240,2147483648,9124385008,0,1758665056
19,2684354560,268435456,2078126724,0,310033755
19,2684354560,268435456,2078200460,0,289695679
19,2684354560,268435456,2078139300,0,286521401
19,2684354560,268435456,2078122196,0,289857958
19,2684354560,268435456,2078178308,0,285525831
1,2684354560,268435456,4039139360,20936526288,20888073541
1,2684354560,268435456,17053359336,7922306312,18584306112
1,2684354560,268435456,17054933944,7920731704,18349091209
1,2684354560,268435456,17054933944,7920731704,18392037261
1,2684354560,268435456,4035990984,20939674664,18869930793
10,10737418240,2147483648,9124385008,0,1749076097
12,10737418240,1073741824,6845090004,0,2140333346
20,2684354560,268435456,3807060626,0,1045707205
20,2684354560,268435456,3807060626,0,1050693604
20,2684354560,268435456,3807060626,0,1027607087
20,2684354560,268435456,3807060626,0,1061469086
20,2684354560,268435456,3807060626,0,1045689014
21,2684354560,268435456,24873387902,71591560,6505586853
21,2684354560,268435456,24873387902,71591560,6300674513
21,2684354560,268435456,24873387902,71591560,6348153556
21,2684354560,268435456,24873387902,71591560,6265078791
21,2684354560,268435456,24873030662,71948800,6302058190
11,10737418240,2147483648,1285878476,0,167512537
22,2684354560,268435456,3952082146,0,688449784
22,2684354560,268435456,3952082146,0,669766702
22,2684354560,268435456,3952082146,0,685049598
22,2684354560,268435456,3952082146,0,693664182
22,2684354560,268435456,3952082146,0,691845810
2,2684354560,268435456,1114271146,0,94029035
2,2684354560,268435456,1114262954,0,91645059
2,2684354560,268435456,1114282434,0,79674820
2,2684354560,268435456,1114302106,0,79555471
2,2684354560,268435456,1114262954,0,81405872
11,10737418240,2147483648,1285878476,0,148754594
3,2684354560,268435456,11687214588,142623872,2047745400
3,2684354560,268435456,11684067084,145771376,2046510923
3,2684354560,268435456,11687214588,142623872,2152573127
3,2684354560,268435456,11687214588,142623872,1993345377
3,2684354560,268435456,11687214588,142623872,1995532815
4,2684354560,268435456,11715321704,35660352,1937473449
4,2684354560,268435456,11715321704,35660352,1935655016
4,2684354560,268435456,11715321704,35660352,1913138843
4,2684354560,268435456,11715321704,35660352,1920663528
4,2684354560,268435456,11715321704,35660352,1922870455
11,10737418240,2147483648,1285878476,0,151986690
5,2684354560,268435456,16081927896,1115208,2638396789
5,2684354560,268435456,16081927896,1115208,2592786466
5,2684354560,268435456,16081927896,1115208,2647168600
5,2684354560,268435456,16081927896,1115208,2568228513
5,2684354560,268435456,16081927896,1115208,2682420596
6,2684354560,268435456,1320628080,0,270040178
6,2684354560,268435456,1320628080,0,267553843
6,2684354560,268435456,1320628080,0,264815620
6,2684354560,268435456,1320628080,0,263681412
6,2684354560,268435456,1320628080,0,264522663
11,10737418240,2147483648,1285878476,0,146656276
7,2684354560,268435456,10732472224,403497376,1483125704
7,2684354560,268435456,10423916480,712053120,1336859953
7,2684354560,268435456,10423916480,712053120,1441478732
7,2684354560,268435456,11135411448,558152,1359291917
7,2684354560,268435456,10423916480,712053120,1309453157
8,2684354560,268435456,8526421991,1065610960,851987843
8,2684354560,268435456,8512086823,1079946128,831913804
8,2684354560,268435456,8513660215,1078372736,852188441
8,2684354560,268435456,8487843479,1104189472,823270521
8,2684354560,268435456,8489941335,1102091616,849657816
11,10737418240,2147483648,1285878476,0,153601043
9,2684354560,268435456,25210556944,1206763400,9623823341
9,2684354560,268435456,25210556944,1206763400,9598323617
9,2684354560,268435456,25210556944,1206763400,9573846723
9,2684354560,268435456,25210556944,1206763400,9441238225
9,2684354560,268435456,25210556944,1206763400,9494133933
