query_id,d2.5GB_tf0.25GB,d2.5GB_tf0.5GB,d5GB_tf0.5GB,d2.5GB_tf0.75GB,d7.5GB_tf0.75GB,d2.5GB_tf1GB,d5GB_tf1GB,d10GB_tf1GB,d2.5GB_tf1.25GB,d12.5GB_tf1.25GB,d5GB_tf1.5GB,d7.5GB_tf1.5GB,d5GB_tf2GB,d10GB_tf2GB,d7.5GB_tf2.25GB,d5GB_tf2.5GB,d12.5GB_tf2.5GB,d7.5GB_tf3GB,d10GB_tf3GB,d7.5GB_tf3.75GB,d12.5GB_tf3.75GB,d10GB_tf4GB,d10GB_tf5GB,d12.5GB_tf5GB,d12.5GB_tf6.25GB,baseline,ideal
1,19016687783.2,18570314855.3,18220687972.100002,18712962474.0,18295867842.199997,18765876496.8,18285165979.600002,18385261983.4,18698142276.9,18079190263.7,18583574878.100002,18292561282.300003,18595452727.100002,18588721895.100002,18246689256.100002,18678001136.0,18123948683.0,18355973652.6,18338213636.399998,18353923780.100002,18125894239.3,18309636438.3,18344307659.6,18376554916.0,18353623118.0,17741697275.9,
2,183584507.9,195956025.2,199065899.59999996,206606168.6,207110303.0,209573800.0,206824690.0,209453197.6,207079636.0,204619575.2,210533325.6,209520196.0,208803337.8,204989231.8,207708265.4,206492848.6,195947907.2,204199129.0,204973577.2,205689424.6,209730704.0,207745585.8,205804368.0,204206465.2,204147554.0,103231348.0,
3,2063277738.2,2084037723.0,1990011387.0,2105397144.3,2007674024.8999999,2008024299.3000002,1898486015.1000001,1898669558.3000002,2122165677.6,1911812865.0,1956201622.8000002,1927830535.6000001,2099901607.6,2003333822.3999999,1950331466.7,2057650877.6,1949993806.0,1944321583.6,1953288914.6,1855078627.4,1844340546.0,1882765674.6000001,1935121659.4,1928921041.8,1941711462.6,2058126983.3,
4,1941019914.3,1624847240.1999998,1523754060.0,1625300238.2,1518790737.4,1568700120.1,1477509592.7,1477423261.3,1575749127.8,1493031378.6,1483683995.6,1487126698.2,1488736190.4,1484401635.4,1524769633.2,1609162440.3999999,1512927537.0,1525709433.1999998,1530525713.8,1519822083.5,1520001031.8999999,1514302024.5,1511532145.3,1511607404.1,1510650347.3,1821662895.4,
5,2643914798.5,2595748269.5,2575423295.5,2578495298.2999997,2588489468.7,2347283753.7999997,2399645235.2,2390342862.7999997,2525016973.3,2421490928.7000003,2409087458.1,2387806017.7,2411098670.7,2436074054.2999997,2460131348.7,2285129046.8,2252562112.8,2261568776.1,2270997804.1,1990944359.8,1982032434.4,2211387689.6,2318924895.8,2287412947.4,2271809154.6,2566510007.7,
6,266122743.2,276972465.8,276468626.40000004,289965492.8,289334703.0,319281666.09999996,318424458.7,319355316.3,318852953.7,319466824.7,328631350.7,330771639.3,341054070.7,340169917.3,342720981.5,340916833.7,340231729.1,342750629.1,341470963.1,424103082.7,421720244.3,421475068.9,422302014.5,424084335.9,422727930.9,263295563.5,
7,1390753860.6,1304352612.7,1257016899.3,1294868384.7,1206860980.5,1478543400.7,1337473445.5,1311428673.5,1380667087.5,1333888440.9,1248274013.2,1300075226.0,1230654093.0,1233189008.6,1242775169.4,1283371603.8,1270092340.4,1265507159.7,1264881507.3,1210906381.0,1218400585.3999999,1213138585.0,1245419029.8,1255995532.2,1307653255.8,1336156277.3,
8,859918290.7,846481421.3,832168310.6999999,862383832.6,826821656.4,880413900.6,839400008.2,848335711.2,850727667.6,812444321.8,824198096.4,821642384.2,842399061.1,832718474.6999999,848770418.6999999,846183194.5999999,840009202.0,835691468.4000001,838132936.5999999,798426364.2,803422988.4,821473475.2,878035093.5999999,881330354.5999999,893169635.2,808477362.1,
9,9557268347.8,9416705832.0,9555310561.8,9700003298.7,9267306768.1,9841512459.1,9429470812.5,9211933681.9,9432286189.0,8788297795.2,8924901539.800001,8825918142.800001,9238739354.0,8943146533.4,8751503728.599998,8701964627.699999,8720369677.9,8820013137.400002,8946413289.2,8859010295.6,8796608491.0,9002077978.199999,8518985113.400001,8072734923.0,7232482714.6,10080014083.9,
10,1933852336.7,1964876968.3,1901035711.1000001,1930901421.2,1862979486.2,2023567386.4,1908594611.6000001,2048330257.2,2020061538.9,1878387811.3,1842178613.6,1863618543.0,1893579971.6,1887358719.3999999,1884926453.8,1885583292.6999998,1860145370.1,1870498837.5,1863011423.1,1927988021.8,1931894374.6,1929602888.1,1942744931.9,1941234683.3000002,1894970028.9,2069627598.1,
11,176847050.20000002,180082234.0,183840169.0,188010631.0,180204849.2,189612733.6,187656880.0,189193204.0,186551787.4,185773013.8,188471605.8,187624058.4,189048462.8,192191589.0,187181746.6,188480808.6,182912487.8,181189471.8,187916468.0,185639251.0,187381605.0,182844094.0,184114136.8,185843118.4,177607321.0,166047607.72727272,
12,2129912977.7,2021608920.7,2020964745.3,2027618869.5,2018252805.9,2156775550.9,2150145181.9,2149879881.5,2145567980.8,2154028900.2,2031625394.2,2031628421.0,2039540385.3999999,2040694097.8,2036281704.1999998,1762172576.3999999,1762760353.4,1770435688.4,1767997321.6000001,1720830616.5,1717200967.5,1716027517.1,1694710157.3,1684295762.5,1686742122.1,2128087835.1818182,
13,13938717308.4,9757199145.099998,9558080800.099998,9750797083.300001,9420752415.7,9791142916.900002,9472401927.300001,9594258434.5,9814480069.900002,9382448239.5,9515076196.5,9509310776.7,9451531618.5,9458739852.1,9527285365.900002,9448691864.5,9530588146.900002,9504706592.5,9491904511.1,9547871006.1,9443078102.5,9508642798.300001,9465729486.300001,9490010609.300001,9462731879.1,13767986767.7,
14,2292989976.0,2306242353.7999997,2322257095.0,2334367714.6,2324663720.7999997,2335365219.7000003,2345598142.9,2341360880.5,2372651313.5,2368526034.1,2386639159.1,2344904141.5,2420214253.3,2343396598.1,2330149637.5,2364648731.7,2347890696.5,2475466517.5,2404154085.1,2463068237.7,2461180120.9,2458972736.7,2499246511.3,2463531555.5,2496565101.5,2256165711.3,
16,2247222374.6,1724244473.1000001,1718022955.1000001,1726828755.3,1695426163.9,1725330505.1000001,1740601552.1000001,1727881834.7,1721969176.1000001,1724949440.3,1733806509.7,1724144083.5,1723640757.5,1728818571.1000001,1736187217.3,1740540725.9,1719834490.9,1716521199.9,1731418198.1000001,1730689596.5,1717722105.9,1725022200.3,1715657477.1000001,1721521921.1000001,1725835012.7,2279219916.0,
17,423110181.3,401770400.09999996,409364334.29999995,407981541.5,406049750.7,403686817.5,413861149.9,408569495.7,408934673.09999996,407890494.5,408374572.09999996,410688303.09999996,379439906.5,378279702.9,375115539.7,379110988.7,380207528.9,377060368.9,378667061.7,466955288.1,461502780.5,469033429.9,464300704.9,467563418.3,463600974.1,419368391.7,
18,4433176277.8,6697391182.599999,4360454046.0,6721258122.6,4399815330.6,6724921183.0,4480565619.4,4426257814.8,6759874754.2,4418442356.4,4483359292.8,4437252854.8,4506329730.5,4447495635.099999,4461399150.2,4510045225.8,4465895591.6,4493123773.0,4476809489.8,4496423500.8,4486180536.0,4494940220.8,4494038213.8,4484341179.200001,4494594417.200001,4368661179.2,
19,298614026.40000004,316697013.8,314973102.40000004,320368632.7,323506696.7,345454577.1,343780562.90000004,342923506.5,359625440.7,354161801.3,357037030.7,359053228.5,355651701.5,358833523.3,411932738.70000005,415288167.1,415738431.3,448957534.29999995,455025974.3,451381495.1,448387496.1,448289626.1,539917660.7,542319294.3,540959672.1,293758747.3,
20,1063263861.7,1070834068.6,1062398488.8000001,1184909822.8,1169640888.8,1104229541.2,1107314906.0,1107883153.6,1120982665.6000001,1107879969.8,1214666507.1,1218787239.3,2538462010.0,2538093664.2,2549826355.7,2563856619.7,2569763534.3,1207170329.0,1212480235.2,2550163333.0,2547168260.9999995,2628483365.8999996,2644617660.9,2661510923.5,2738014533.3,1033076159.7,
21,6431167960.8,6462740579.200001,6341099396.400001,6523734183.400001,6356032276.8,6144119877.2,6009599039.4,5972713309.0,6320154756.6,5977653298.6,6010259622.400001,6000651499.0,6119700245.0,5952858843.6,5881516616.2,5932850728.5,5757724883.9,5784673985.0,5790747246.8,5637687223.4,5698551495.0,5717404435.400001,5328555671.3,5293251357.900001,5318676714.3,6250432506.3,
22,690488770.3000001,672515458.8,666813774.8,625081732.1,630634725.9000001,581061735.6,585285831.0,586045624.1999999,585757176.1999999,581028092.6,586793286.8,584336156.1999999,587574501.5999999,579883456.4,587771968.8,585136664.8,581969052.1999999,583443829.1999999,583652779.0,587197068.1999999,583024268.1999999,583873595.0,586009572.4,580463690.1999999,586259122.5999999,726108570.4,
