query_id,dam_size_gb,table_size_gb,migration_size_gb,migration_duration_ns
91,25.0,5.0,4.928508904762566,201723011.0
92,25.0,5.0,4.694057995453477,5300671858.0
94,25.0,5.0,4.928508904762566,201765611.0
95,25.0,5.0,4.928508904762566,201713522.0
131,25.0,2.5,1.4514797180891037,59795287.0
132,25.0,2.5,1.4514797180891037,59819367.0
133,25.0,2.5,2.289040483534336,93851366.0
134,25.0,2.5,1.5336870476603508,63095993.0
135,25.0,2.5,1.0325209945440292,42852854.0
213,25.0,10.0,9.659859140403569,401809033.0
