query_id,dam_size_gb,table_size_gb,migration_size_gb,migration_duration_ns
91,25.0,7.5,6.633247938938439,191871890.2
92,25.0,7.5,6.633247938938439,191871890.2
93,25.0,7.5,6.633247938938439,191871890.2
94,25.0,7.5,6.633247938938439,191871890.2
95,25.0,7.5,6.633247938938439,191871890.2
131,25.0,2.5,1.4514797180891037,42495359.0
132,25.0,2.5,1.4514797180891037,42495359.0
133,25.0,2.5,1.4514797180891037,42495359.0
134,25.0,2.5,1.4514797180891037,42495359.0
135,25.0,2.5,1.4514797180891037,42495359.0
211,25.0,10.0,9.659859140403569,282794606.0
212,25.0,10.0,9.659859140403569,282794606.0
213,25.0,10.0,9.659859140403569,282794606.0
214,25.0,10.0,9.659859140403569,282794606.0
215,25.0,10.0,9.659859140403569,282794606.0
